interval_start_index,partition,time_s,speed_mps,steer_rad,input_steer_vel_radps,input_accel_x_mps2,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_residual_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_residual_rad
154,train,1.55,1.999184113,0.0,3.2,0.003879541,0.096064895,0.09606489460350766,-3.9649233896099645e-10,0.004786831,0.004786830473115519,-5.26884481356904e-10
155,train,1.56,1.999222909,0.032,-3.2,0.003695069,0.091357854,0.09135785458964198,5.896419741358017e-10,0.004624048,0.00462404839892573,3.989257292558168e-10
156,train,1.57,1.999259859,0.0,3.2,0.003519369,0.096064701,0.0960647010754146,7.541459123849847e-11,0.004784091,0.004784091319235808,3.1923580792736495e-10
157,train,1.58,1.999295053,0.032,-3.2,0.003352023,0.091358611,0.09135861014916906,-8.50830947363157e-10,0.004621902,0.004621901665235599,-3.347644010956441e-10
158,train,1.59,1.999328573,0.0,3.2,0.003192634,0.096065993,0.096065993359132,3.591320019147304e-10,0.004782399,0.004782399000841194,8.411943017150314e-13
159,train,1.6,1.9993605,0.032,-3.2,0.003040824,0.091360389,0.09136038848874767,-5.11252332136003e-10,0.004620556,0.004620556107579243,1.0757924325671686e-10
160,train,1.61,1.999390908,0.0,3.2,0.002896233,0.096067981,0.09606798168767783,6.876778313458232e-10,0.00478132,0.004781319526141819,-4.738581809923814e-10
161,train,1.62,1.99941987,0.032,-3.2,0.002758517,0.091362614,0.09136261404583769,4.583769475097199e-11,0.004619681,0.004619681389719039,3.8971903915802075e-10
162,train,1.63,1.999447455,0.0,3.2,0.00262735,0.096070246,0.09607024607752535,7.752534725291582e-11,0.004780603,0.004780602861815757,-1.3818424269423923e-10
163,train,1.64,1.999473729,0.032,-3.2,0.002502419,0.091364981,0.09136498068322717,-3.167728301889383e-10,0.004619087,0.004619086576558743,-4.2344125688459355e-10
